announcedate,keydeveventtypeid,headline
2004-07-27,138,"BHP Billiton Ltd. Reports Sales Results for the Year Ended June 30, 2004"
2004-07-28,23,North West Shelf Partners Sign New LNG Deal with Kansai Electric
2004-07-28,29,"BHP Billiton plc Provides Guidance for the Year Ending June 30, 2005"
2004-08-02,44,Yandi Mine Lockout Ended
2004-08-18,3,BHP Billiton Ltd. Considers Acquisitions
2004-08-18,28,"BHP Billiton plc Reports Annual Earnings for the Period Ended June 30, 2004"
2004-08-19,31,POSCO and BHP Billiton Plans to Build Biggest Steel Plant in Eastern India
2004-08-26,22,"BHP Billiton Ltd., JFE Steel Corp. Forms Iron Venture"
2004-08-31,28,"BHP Billiton Group Reports Earnings Results for the Year Ended June 30, 2004"
2004-09-02,31,BHP Billiton Selects Pilbara LNG Plant Site
2004-09-07,31,BHP Billiton Announces Expansion of One-sixth Owned North West Shelf Liquefied Natural Gas Project
2004-09-11,31,"BHP Billiton to Invest INR 390 Billion in Orissa's Metal, Power Projects"
2004-09-13,31,BHP Billiton to Build Aluminium Smelter in Sarawak
2004-09-14,22,Petra Diamonds Ltd. Enters into Joint Venture with BHP Billiton Ltd
2004-09-16,29,BHP Billiton Provides Earnings Guidance for the Full Year of Fiscal 2005
2004-09-16,232,BHP Billiton Ltd. Announced On-Market Share Buy-Back Programme
2004-09-16,23,JFE Steel Inks an 11-Year Deal to Buy an Annual 16 Million Tons from BHP Billiton
2004-09-24,230,BHP Announces Extension of On-Market Buyback Program
2004-09-28,23,BHP Billiton Wins $3.2b China Iron Ore Deal
2004-09-29,23,BHP Secures $4.5 Billion Iron Ore Deal
2004-09-30,22,Steel Authority of India Limited Teams Up with BHP Billiton Ltd. to Develop Coking Coal and Iron Ore Mines
2004-10-01,80,"Announced Merger/Acquisition Transaction - Target: Tubridgi Field; Buyer(s): BHP Billiton Ltd.; Seller(s): Origin Energy Ltd., Pan Pacific Petroleum NL; Transaction Size: $5.3 mm"
2004-10-01,80,"Announced Merger/Acquisition Transaction - Target: Tubridgi Field; Buyer(s): BHP Billiton Ltd.; Seller(s): Origin Energy Ltd., Pan Pacific Petroleum NL; Transaction Size: $5.3 mm"
2004-10-05,232,BHP Billiton to Launch Massive Share Buy-Back
2004-10-05,232,BHP Billiton Ltd. announces an Equity Buyback in the amount of $1780 mm
2004-10-05,232,"BHP Group Limited (ASX:BHP) announces an Equity Buyback for $2,000 million worth of its shares."
